CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
2025-10-28,VSA DEP12374336,,16.79,"1,088.66",,-16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-28,VSA FEE12233920,,-1.25,"1,087.41",,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-29,e-Transfer sent,bowlingdowntown@gmail.com,-250,837.41,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-29,Online Banking payment - 1733,OUTDOOR GEAR,-376.93,460.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.93,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-29,MC DEP 12233920,,-141.72,318.76,,141.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-29,MC FEE 12233920,,1.44,320.20,,,,,,,,,,,,,,,,,,,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-30,Misc Payment,PAYPAL,4133.55,"4,453.75",,-4133.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-30,EF1030 12374336,,935.34,"5,389.09",,-935.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-30,MC FEE 12233920,,-0.06,"5,389.03",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,AMX FEE12233920,,-71.6,"5,317.43",,,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,INT FEE12374336,,-1.01,"5,316.42",,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MC DEP 12233920,,179.68,"5,496.10",,-179.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MC FEE 12233920,,-8.98,"5,487.12",,,,,,,,,,,,,,,,,,,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MC FEE 12374336,,-21.34,"5,465.78",,,,,,,,,,,,,,,,,,,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MON FEE12233920,,-27.3,"5,438.48",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MON FEE12344503,,-27.3,"5,411.18",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,MON FEE12374336,,-45.5,"5,365.68",,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,VSA DEP12374336,,453.6,"5,819.28",,-453.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-10-31,VSA FEE12374336,,-34.71,"5,784.57",,,,,,,,,,,,,,,,,,,34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,Credit memo,FT916441528,28050,"33,834.57",,,,,,,,,,,,,,,,,,,,,,,,,,-28050,,,,,,,,,,,,,,,,,,,,,,0,,TRF-083,CAN 1015 USD,Y,20392.35,,,,,,,,,,,33
2025-11-03,Misc Payment,HSA CAD CAN,-179.5,"33,655.07",,,,,,,,,,,,,,,,,,,179.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,Misc Payment,PAYPAL,2953.43,"36,608.50",,-2953.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,Online transfer sent - 4493,REMY METAILLER INCORPORATED,-9173.85,"27,434.65",,,,,,,,,,,,,,,,,,,9173.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,AMX DEP12233920,,56.95,"27,491.60",,-56.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,MC DEP 12374336,,491.93,"27,983.53",,-491.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,MC FEE 12233920,,-0.06,"27,983.47",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,VSA DEP12233920,,107.25,"28,090.72",,-107.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,VSA DEP12374336,,104.99,"28,195.71",,-104.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,VSA FEE12233920,,-1.83,"28,193.88",,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-03,VSA FEE12233920,,-0.06,"28,193.82",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-04,MC DEP 12233920,,171.72,"28,365.54",,-171.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-04,MC FEE 12233920,,-3.91,"28,361.63",,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-04,Monthly fee,,-6,"28,355.63",,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-04,VSA FEE12233920,,-0.19,"28,355.44",,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-05,Business PAD,SPECIALIZED,-2419.2,"25,936.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-05,VSA DEP12233920,,1011.82,"26,948.06",,-1011.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-05,VSA FEE12233920,,-16.95,"26,931.11",,,,,,,,,,,,,,,,,,,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,Federal Payment,CANADA,-1683.17,"25,247.94",,,,,,,,,,,,,,,,,,,1683.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,Misc Payment,PAYPAL,4733.09,"29,981.03",,-4733.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,Activity fee,,-278,"29,703.03",,,,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,EF1106 12374336,,-55.45,"29,647.58",,55.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,VSA DEP12233920,,103.68,"29,751.26",,-103.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,VSA DEP12374336,,53.76,"29,805.02",,-53.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-06,VSA FEE12233920,,-2.17,"29,802.85",,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-07,MC DEP 12374336,,322,"30,124.85",,-322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-07,VSA DEP12233920,,1487.23,"31,612.08",,-1487.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-07,VSA FEE12233920,,-34.33,"31,577.75",,,,,,,,,,,,,,,,,,,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,Business PAD,KATIE THIESSEN,-1988.64,"29,589.11",,,,,,,,,,,,,,,,,,,1988.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,Misc Payment,PAYPAL,4595.19,"34,184.30",,-4595.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,MC DEP 12233920,,1585.69,"35,769.99",,-1585.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,MC FEE 12233920,,-36.9,"35,733.09",,,,,,,,,,,,,,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,MC FEE 12233920,,-0.06,"35,733.03",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,Online transfer sent - 2348,,-8000,"27,733.03",,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,VSA DEP12233920,,57.75,"27,790.78",,-57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,VSA FEE12233920,,-1.29,"27,789.49",,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-10,VSA FEE12233920,,-0.06,"27,789.43",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Bill Payment,FortisBC Energy,-144.87,"27,644.56",,,,,,,,,,,,,,,,,,,144.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Credit memo,FT916472135,13986,"41,630.56",,,,,,,,,,,,,,,,,,,,,,,,,,-13986,,,,,,,,,,,,,,,,,,,,,,0,,TRF-084,CAN 1015 USD,Y,10167.822,,,,,,,,,,,34
2025-11-12,Payroll Deposit,INTUIT 08543826,-2275.72,"39,354.84",,,,,,,,,,,,,,,,,,,2275.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-2144.62,"37,210.22",,,,,,,,,,,,,,,,,,,2144.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-2133.36,"35,076.86",,,,,,,,,,,,,,,,,,,2133.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-2123.97,"32,952.89",,,,,,,,,,,,,,,,,,,2123.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-2089.71,"30,863.18",,,,,,,,,,,,,,,,,,,2089.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1963.46,"28,899.72",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1963.46,"26,936.26",,,,,,,,,,,,,,,,,,,1963.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1837.22,"25,099.04",,,,,,,,,,,,,,,,,,,1837.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1792.51,"23,306.53",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1792.51,"21,514.02",,,,,,,,,,,,,,,,,,,1792.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1735.58,"19,778.44",,,,,,,,,,,,,,,,,,,1735.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1547.56,"18,230.88",,,,,,,,,,,,,,,,,,,1547.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1396.63,"16,834.25",,,,,,,,,,,,,,,,,,,1396.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1211.24,"15,623.01",,,,,,,,,,,,,,,,,,,1211.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-1029.73,"14,593.28",,,,,,,,,,,,,,,,,,,1029.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-882.71,"13,710.57",,,,,,,,,,,,,,,,,,,882.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Payroll Deposit,INTUIT 08543826,-801.02,"12,909.55",,,,,,,,,,,,,,,,,,,801.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,EF1112 12374336,,11.19,"12,920.74",,-11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,MC FEE 12233920,,-0.02,"12,920.72",,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,Online transfer sent - 5932,,-8000,"4,920.72",,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,VSA DEP12233920,,136.55,"5,057.27",,-136.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,VSA DEP12374336,,31.5,"5,088.77",,-31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,VSA FEE12233920,,-2.71,"5,086.06",,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-12,VSA FEE12233920,,-0.14,"5,085.92",,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,Misc Payment,PAYPAL,2783.72,"7,869.64",,-2783.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,Payroll Deposit,PAYROLL,-32954.14,"-25,084.50",,,,,,,,,,,,,,,,,,,32954.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,MC DEP 12233920,,-67.8,"-25,152.30",,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,MC FEE 12233920,,0.53,"-25,151.77",,,,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,VSA DEP12233920,,1607.05,"-23,544.72",,-1607.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-13,VSA FEE12233920,,-41.92,"-23,586.64",,,,,,,,,,,,,,,,,,,41.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,Misc Payment,HSA CAD CAN,-136.81,"-23,723.45",,,,,,,,,,,,,,,,,,,136.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,Misc Payment,RBC CREDIT CARD,-14219.71,"-37,943.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,14219.71,,,,,,,,,,,,,,,,,,,,0,,TRF-V4-004,CAN 2110 CAD,N,,,,,,,,,,,,35
2025-11-14,Misc Payment,RBC CREDIT CARD,-3629.9,"-41,573.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,3629.9,,,,,,,,,,,,,,,,,,,,0,,TRF-V7-001,CAN 2190 CAD,,,,,,,,,,,,,36
2025-11-14,Misc Payment,RBC CREDIT CARD,-3324.55,"-44,897.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,3324.55,,,,,,,,,,,,,,,,,,,,0,,TRF-V5-004,CAN 2130 CAD,N,,,,,,,,,,,,37
2025-11-14,EF1114 12374336,,55.13,"-44,842.48",,-55.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,LOAN CREDIT,,25000,"-19,842.48",,,,,,,,,,,,,,,,,,,,,,,,,,-25000,,,,,,,,,,,,,,,,,,,,,,0,,TRF-021,CAN 1050 CAD$,N,18175,,,,,,,,,,,38
2025-11-14,MC DEP 12374336,,120.92,"-19,721.56",,-120.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,VSA DEP12233920,,1257.47,"-18,464.09",,-1257.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,VSA DEP12374336,,877.17,"-17,586.92",,-877.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-14,VSA FEE12233920,,-33.53,"-17,620.45",,,,,,,,,,,,,,,,,,,33.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-17,Credit memo,FT916486028,55980,"38,359.55",,,,,,,,,,,,,,,,,,,,,,,,,,-55980,,,,,,,,,,,,,,,,,,,,,,0,,TRF-085,CAN 1015 USD,Y,40697.46,,,,,,,,,,,39
2025-11-17,Credit memo,FT916488311,28008,"66,367.55",,,,,,,,,,,,,,,,,,,,,,,,,,-28008,,,,,,,,,,,,,,,,,,,,,,0,,TRF-086,CAN 1015 USD,Y,20361.816,,,,,,,,,,,40
2025-11-17,Misc Payment,PAYPAL,8106.61,"74,474.16",,-8106.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-17,Web payment,WIRE7532100891,-928.21,"73,545.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.21,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-17,EF1117 12374336,,44.78,"73,590.73",,-44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-17,VSA FEE12233920,,-0.06,"73,590.67",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,Overdraft interest,@ RBP+05.00%P.A,-13.69,"73,576.98",,,,,,,,,,,,,,,,,,,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,COMM HYDRO BILL PMT,B.C. HYDRO-PAP,-473.46,"73,103.52",,,,,,,,,,,,,,,,,,,473.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,Payroll Deposit,INTUIT 08832967,-801.02,"72,302.50",,,,,,,,,,,,,,,,,,,801.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,Cheque over limit fees,,-5,"72,297.50",,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,LOAN PAYMENT,,-25000,"47,297.50",,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,0,,TRF-022,CAN 1050 CAD$,N,-18175,,,,,,,,,,,41
2025-11-18,MC FEE 12233920,,-0.06,"47,297.44",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,VSA DEP12233920,,1233.55,"48,530.99",,-1233.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-18,VSA FEE12233920,,-23.62,"48,507.37",,,,,,,,,,,,,,,,,,,23.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-19,MC DEP 12233920,,2339.85,"50,847.22",,-2339.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-19,MC FEE 12233920,,-63.33,"50,783.89",,,,,,,,,,,,,,,,,,,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-19,MON FEE12233920,,-44.46,"50,739.43",,,,,,,,,,,,,,,,,,,44.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-19,VSA FEE12233920,,-0.45,"50,738.98",,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,e-Transfer sent,Max McCulloch,-1575,"49,163.98",,,,,,,,,,,,,,,,,,,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,Misc Payment,PAYPAL,17686.7,"66,850.68",,-17686.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,Business PAD,SPECIALIZED,-39.69,"66,810.99",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,39.69,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,MC FEE 12233920,,-0.06,"66,810.93",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,VSA DEP12233920,,2394.7,"69,205.63",,-2394.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-20,VSA FEE12233920,,-45.71,"69,159.92",,,,,,,,,,,,,,,,,,,45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,Misc Payment,HSA CAD CAN,-273.63,"68,886.29",,,,,,,,,,,,,,,,,,,273.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,Other loan,Loan interest,-15.62,"68,870.67",,,,,,,,,,,,,,,,,,,15.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,EF1121 12374336,,119.44,"68,990.11",,-119.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,MC DEP 12233920,,1126.2,"70,116.31",,-1126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,MC DEP 12374336,,24.09,"70,140.40",,-24.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,MC FEE 12233920,,-20.81,"70,119.59",,,,,,,,,,,,,,,,,,,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,VSA DEP12374336,,2353.89,"72,473.48",,-2353.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-21,VSA FEE12233920,,-0.13,"72,473.35",,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-24,Misc Payment,HSA CAD CAN,-437.78,"72,035.57",,,,,,,,,,,,,,,,,,,437.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-24,Business PAD,KATIE THIESSEN,-1988.64,"70,046.93",,,,,,,,,,,,,,,,,,,1988.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-24,Misc Payment,PAYPAL,4834.86,"74,881.79",,-4834.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-11-24,AMX DEP12233920,,2313.5,"77,195.29",,-2313.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
